fecha,precio_urea_usd_kg,precio_fungicida_usd_l,precio_gasoil_usd_l,precio_limon_exportacion_usd_t,precio_limon_industria_usd_t
2010-11-08,0.56,15.91,1.05,424.6,34.46
2010-11-15,0.57,15.44,1.0,353.18,38.47
2010-11-22,0.5,15.77,1.16,399.15,62.13
2010-11-29,0.57,16.79,1.05,372.19,77.41
2010-12-06,0.63,14.6,1.01,408.92,48.43
2010-12-13,0.58,15.76,1.17,468.15,62.55
2010-12-20,0.6,17.98,1.03,388.58,60.94
2010-12-27,0.59,16.81,0.98,390.11,59.11
2011-01-03,0.55,19.04,0.99,443.72,77.87
2011-01-10,0.65,16.16,1.08,447.82,62.35
2011-01-17,0.55,17.18,0.93,454.1,61.51
2011-01-24,0.55,19.14,1.03,412.71,83.9
2011-01-31,0.52,15.99,1.05,464.69,62.49
2011-02-07,0.5,16.02,1.03,430.39,65.11
2011-02-14,0.57,14.51,1.11,446.16,76.61
2011-02-21,0.57,18.0,1.08,492.63,66.27
2011-02-28,0.55,19.43,1.11,464.57,44.68
2011-03-07,0.5,17.03,1.07,419.97,61.69
2011-03-14,0.62,17.52,1.0,443.05,50.34
2011-03-21,0.54,16.18,1.04,400.3,58.47
2011-03-28,0.53,13.13,1.17,497.05,55.48
2011-04-04,0.56,15.26,1.15,532.35,61.88
2011-04-11,0.6,16.9,0.99,442.87,61.58
2011-04-18,0.54,16.43,1.06,458.91,60.63
2011-04-25,0.51,15.82,1.0,503.94,34.73
2011-05-02,0.6,18.38,1.05,363.23,55.66
2011-05-09,0.55,15.47,1.04,530.92,67.98
2011-05-16,0.52,14.76,1.05,463.33,65.95
2011-05-23,0.54,17.33,1.16,506.43,59.42
2011-05-30,0.55,16.28,1.12,450.42,60.54
2011-06-06,0.56,16.1,0.99,489.88,59.27
2011-06-13,0.58,16.07,1.13,443.07,80.54
2011-06-20,0.49,17.25,1.09,447.22,65.09
2011-06-27,0.61,14.02,1.09,379.91,48.41
2011-07-04,0.62,16.02,1.0,472.04,84.81
2011-07-11,0.48,15.45,1.14,554.28,58.76
2011-07-18,0.51,19.28,1.15,506.84,50.25
2011-07-25,0.56,16.54,1.08,537.14,70.55
2011-08-01,0.51,18.41,1.08,505.7,77.6
2011-08-08,0.51,16.69,1.04,414.35,64.16
2011-08-15,0.66,14.5,1.06,501.26,61.48
2011-08-22,0.55,15.16,1.08,443.68,33.72
2011-08-29,0.61,17.91,1.07,481.19,72.89
2011-09-05,0.57,17.85,1.05,522.37,63.85
2011-09-12,0.57,15.2,1.08,434.27,52.34
2011-09-19,0.53,15.46,1.17,518.28,83.04
2011-09-26,0.51,16.84,1.0,434.54,48.98
2011-10-03,0.61,16.28,1.12,483.74,87.64
2011-10-10,0.5,18.3,1.12,417.75,72.09
2011-10-17,0.57,16.49,1.03,424.97,84.6
2011-10-24,0.56,17.72,1.03,419.55,72.98
2011-10-31,0.5,16.27,1.07,452.2,57.85
2011-11-07,0.58,17.62,1.1,405.34,56.59
2011-11-14,0.61,17.87,1.0,455.91,36.26
2011-11-21,0.56,19.1,1.02,405.63,69.17
2011-11-28,0.5,16.01,1.1,410.9,57.17
2011-12-05,0.59,17.3,1.08,420.11,64.44
2011-12-12,0.55,17.35,1.04,423.95,48.12
2011-12-19,0.56,15.8,1.01,439.35,62.55
2011-12-26,0.59,16.27,1.09,449.0,65.34
2012-01-02,0.53,16.98,1.09,425.45,34.96
2012-01-09,0.57,19.5,1.05,394.49,64.48
2012-01-16,0.57,18.26,1.01,451.57,67.09
2012-01-23,0.55,17.22,1.12,456.19,46.28
2012-01-30,0.59,16.73,1.07,423.5,58.2
2012-02-06,0.61,16.71,1.01,404.4,62.14
2012-02-13,0.61,17.55,1.03,519.41,63.18
2012-02-20,0.61,16.63,1.1,453.74,74.62
2012-02-27,0.6,17.89,1.05,397.75,63.99
2012-03-05,0.6,16.55,1.12,479.48,49.0
2012-03-12,0.53,16.65,1.09,401.44,76.23
2012-03-19,0.58,16.88,1.0,371.1,63.37
2012-03-26,0.47,18.07,1.06,555.04,87.69
2012-04-02,0.55,16.7,1.12,495.27,40.34
2012-04-09,0.49,16.08,1.1,449.07,72.84
2012-04-16,0.51,14.0,1.12,398.33,35.78
2012-04-23,0.57,17.81,1.07,415.59,58.09
2012-04-30,0.55,15.19,1.04,457.36,63.86
2012-05-07,0.57,15.63,1.06,352.17,62.14
2012-05-14,0.62,15.05,1.04,455.27,75.03
2012-05-21,0.54,16.01,0.97,449.17,84.5
2012-05-28,0.57,16.83,1.09,447.57,50.24
2012-06-04,0.6,17.14,1.07,411.99,75.64
2012-06-11,0.59,16.19,1.12,434.09,50.62
2012-06-18,0.53,14.69,1.1,383.7,45.26
2012-06-25,0.48,16.76,1.07,446.76,47.49
2012-07-02,0.51,17.44,1.05,475.26,49.38
2012-07-09,0.57,18.47,1.1,448.76,63.09
2012-07-16,0.55,16.89,1.06,461.19,62.55
2012-07-23,0.52,15.63,1.0,406.08,45.39
2012-07-30,0.57,15.79,1.1,473.6,36.38
2012-08-06,0.59,17.88,1.02,490.92,49.72
2012-08-13,0.57,15.34,0.98,460.46,58.52
2012-08-20,0.55,15.44,1.05,487.95,59.46
2012-08-27,0.57,16.07,1.14,431.26,65.85
2012-09-03,0.61,17.49,1.06,458.03,72.43
2012-09-10,0.51,15.71,1.06,529.22,64.56
2012-09-17,0.52,16.52,1.04,451.59,71.75
2012-09-24,0.51,18.88,1.12,523.58,54.44
2012-10-01,0.56,15.15,1.05,499.35,75.55
2012-10-08,0.52,16.46,1.07,423.14,67.1
2012-10-15,0.53,16.67,1.05,446.47,59.92
2012-10-22,0.56,16.46,1.04,489.62,79.84
2012-10-29,0.57,18.15,1.01,481.68,46.83
2012-11-05,0.5,16.01,1.14,511.65,62.92
2012-11-12,0.5,16.68,1.09,478.71,37.87
2012-11-19,0.53,16.85,1.1,381.66,58.05
2012-11-26,0.57,17.98,1.11,490.44,50.4
2012-12-03,0.49,16.45,1.13,520.33,68.53
2012-12-10,0.58,17.41,1.05,456.7,80.03
2012-12-17,0.53,18.93,1.06,512.11,43.12
2012-12-24,0.59,16.04,1.01,464.94,72.11
2012-12-31,0.53,15.1,1.07,449.74,66.58
2013-01-07,0.6,16.88,1.17,459.21,55.84
2013-01-14,0.5,16.63,1.06,485.65,65.55
2013-01-21,0.52,17.17,1.11,505.4,70.65
2013-01-28,0.6,17.03,1.1,491.34,44.01
2013-02-04,0.55,16.01,1.1,487.75,52.84
2013-02-11,0.47,16.45,1.13,457.33,65.14
2013-02-18,0.55,15.39,1.11,399.89,86.21
2013-02-25,0.59,16.25,1.05,427.14,57.13
2013-03-04,0.61,17.2,1.04,504.26,60.59
2013-03-11,0.6,16.22,1.1,439.09,37.32
2013-03-18,0.65,18.57,1.06,380.79,64.17
2013-03-25,0.57,17.42,1.09,443.62,77.37
2013-04-01,0.59,15.69,1.15,487.75,97.82
2013-04-08,0.52,17.29,0.97,443.28,53.42
2013-04-15,0.65,16.03,0.99,401.63,36.29
2013-04-22,0.6,14.44,1.08,336.98,56.16
2013-04-29,0.63,17.44,1.04,418.76,60.22
2013-05-06,0.59,15.31,1.11,312.04,52.44
2013-05-13,0.55,17.78,1.08,364.51,48.18
2013-05-20,0.57,16.91,1.05,402.3,68.35
2013-05-27,0.55,16.9,1.19,365.68,37.78
2013-06-03,0.6,16.17,1.07,392.74,56.88
2013-06-10,0.63,18.0,1.13,368.96,46.19
2013-06-17,0.45,16.01,1.13,448.15,57.34
2013-06-24,0.57,16.17,1.09,460.2,40.61
2013-07-01,0.58,18.17,1.06,459.88,93.78
2013-07-08,0.56,17.51,1.05,441.58,65.52
2013-07-15,0.58,15.76,1.09,495.45,65.38
2013-07-22,0.61,16.74,1.12,450.9,48.59
2013-07-29,0.58,15.8,1.05,450.16,63.57
2013-08-05,0.52,18.34,1.11,417.34,41.55
2013-08-12,0.56,16.49,1.09,433.99,35.91
2013-08-19,0.55,16.66,1.12,423.58,80.14
2013-08-26,0.49,18.67,1.07,488.88,60.96
2013-09-02,0.62,16.57,1.03,514.26,58.64
2013-09-09,0.58,18.58,1.03,484.12,52.92
2013-09-16,0.56,17.14,1.01,431.91,76.21
2013-09-23,0.61,16.98,1.1,453.92,76.28
2013-09-30,0.56,17.35,1.14,437.07,78.71
2013-10-07,0.51,19.08,1.07,460.75,37.32
2013-10-14,0.55,15.77,1.05,467.05,71.49
2013-10-21,0.58,17.45,1.03,439.18,81.58
2013-10-28,0.54,19.13,1.07,476.12,72.84
2013-11-04,0.62,16.93,1.07,475.15,64.06
2013-11-11,0.61,17.08,1.12,544.01,64.58
2013-11-18,0.58,15.19,0.95,494.81,58.86
2013-11-25,0.55,17.38,1.08,524.89,61.03
2013-12-02,0.54,18.31,1.08,501.06,54.27
2013-12-09,0.54,17.19,1.09,499.1,56.78
2013-12-16,0.49,16.55,1.13,467.62,57.04
2013-12-23,0.61,16.21,1.01,472.41,54.19
2013-12-30,0.53,16.88,1.11,477.49,63.68
2014-01-06,0.65,16.67,1.1,456.25,49.84
2014-01-13,0.55,16.51,1.11,569.06,51.41
2014-01-20,0.55,17.03,1.11,483.88,75.41
2014-01-27,0.47,14.14,1.06,515.23,41.21
2014-02-03,0.45,17.82,1.1,425.51,48.17
2014-02-10,0.53,17.25,1.06,486.48,25.74
2014-02-17,0.53,15.71,1.08,442.63,69.57
2014-02-24,0.49,17.17,1.12,535.7,54.22
2014-03-03,0.58,14.87,0.97,492.4,59.93
2014-03-10,0.62,15.41,1.12,530.45,65.04
2014-03-17,0.58,17.14,1.01,506.95,52.67
2014-03-24,0.59,15.18,1.03,507.14,55.83
2014-03-31,0.63,17.03,0.99,482.42,52.92
2014-04-07,0.6,17.17,1.01,450.35,86.35
2014-04-14,0.59,17.07,1.15,449.31,62.51
2014-04-21,0.53,17.43,1.14,404.63,77.09
2014-04-28,0.57,16.04,1.14,423.91,69.11
2014-05-05,0.56,17.07,1.12,444.48,36.05
2014-05-12,0.53,18.31,1.08,409.52,43.7
2014-05-19,0.53,14.63,1.09,404.36,48.4
2014-05-26,0.57,17.61,1.2,365.86,73.91
2014-06-02,0.61,16.19,1.1,406.31,62.23
2014-06-09,0.63,17.92,1.12,405.93,42.19
2014-06-16,0.56,18.67,1.01,379.74,61.52
2014-06-23,0.53,16.18,1.07,366.4,48.31
2014-06-30,0.6,15.54,1.01,395.19,68.78
2014-07-07,0.56,16.59,1.1,350.23,65.94
2014-07-14,0.59,16.66,1.15,374.92,73.53
2014-07-21,0.58,16.76,1.09,415.99,74.64
2014-07-28,0.53,16.23,1.15,397.02,70.81
2014-08-04,0.64,16.68,1.13,375.55,69.06
2014-08-11,0.58,17.78,1.06,356.39,66.04
2014-08-18,0.49,16.79,1.14,431.91,83.38
2014-08-25,0.62,16.37,1.1,424.01,41.01
2014-09-01,0.53,16.49,0.99,429.71,57.01
2014-09-08,0.5,17.7,1.13,439.01,56.11
2014-09-15,0.6,18.05,1.11,399.27,63.32
2014-09-22,0.62,16.46,1.2,413.74,60.39
2014-09-29,0.55,17.49,1.0,415.58,46.89
2014-10-06,0.58,18.45,1.13,345.33,84.5
2014-10-13,0.59,16.24,1.1,450.13,52.0
2014-10-20,0.58,16.45,1.07,418.58,42.81
2014-10-27,0.58,17.95,1.12,481.81,63.89
2014-11-03,0.55,18.27,1.03,415.99,48.43
2014-11-10,0.62,18.4,1.12,497.87,49.45
2014-11-17,0.59,17.07,1.14,453.31,55.38
2014-11-24,0.6,18.33,1.06,458.33,47.3
2014-12-01,0.47,17.48,1.13,474.0,36.61
2014-12-08,0.56,14.45,1.17,422.68,75.06
2014-12-15,0.61,16.11,1.04,482.58,49.87
2014-12-22,0.58,16.64,1.0,381.61,62.72
2014-12-29,0.55,16.55,1.13,519.81,56.73
2015-01-05,0.56,17.87,1.03,483.63,66.62
2015-01-12,0.6,14.82,1.06,441.15,61.2
2015-01-19,0.6,19.13,1.07,457.69,73.8
2015-01-26,0.59,18.85,1.11,432.34,44.0
2015-02-02,0.51,18.09,1.16,553.36,70.12
2015-02-09,0.62,16.53,1.04,513.84,65.01
2015-02-16,0.58,17.75,1.12,531.35,75.54
2015-02-23,0.6,18.33,1.13,461.41,69.08
2015-03-02,0.52,18.59,1.04,490.86,49.86
2015-03-09,0.6,17.23,1.02,495.52,53.06
2015-03-16,0.61,17.28,1.12,439.37,52.93
2015-03-23,0.56,18.35,1.19,444.17,72.92
2015-03-30,0.49,15.78,1.05,420.72,41.0
2015-04-06,0.59,17.01,1.12,500.63,63.19
2015-04-13,0.6,17.2,1.04,513.29,52.93
2015-04-20,0.54,17.07,1.05,452.03,64.13
2015-04-27,0.59,16.16,1.07,509.27,65.96
2015-05-04,0.66,18.78,1.16,408.19,69.17
2015-05-11,0.57,16.61,1.11,498.78,66.01
2015-05-18,0.54,18.24,1.07,466.79,56.36
2015-05-25,0.57,18.27,1.05,533.01,38.15
2015-06-01,0.55,17.77,1.13,448.21,59.31
2015-06-08,0.59,17.02,1.17,482.8,70.47
2015-06-15,0.54,17.21,1.09,406.02,64.32
2015-06-22,0.55,18.14,1.05,512.05,49.24
2015-06-29,0.59,18.32,1.07,474.5,45.25
2015-07-06,0.64,17.34,1.07,425.64,69.71
2015-07-13,0.55,16.38,1.09,387.87,81.85
2015-07-20,0.55,18.37,1.11,393.05,59.93
2015-07-27,0.61,17.09,1.17,470.95,71.03
2015-08-03,0.56,15.97,1.07,435.8,66.55
2015-08-10,0.49,17.33,1.11,414.93,75.5
2015-08-17,0.6,18.99,1.09,461.85,79.62
2015-08-24,0.63,15.96,1.09,409.12,65.87
2015-08-31,0.61,16.29,1.11,340.97,77.3
2015-09-07,0.56,17.42,1.09,466.74,25.95
2015-09-14,0.58,17.22,1.08,489.36,49.35
2015-09-21,0.61,17.8,1.17,393.34,51.2
2015-09-28,0.62,17.89,1.02,398.47,64.64
2015-10-05,0.61,16.5,0.95,441.29,45.36
2015-10-12,0.49,13.79,1.15,426.11,57.29
2015-10-19,0.64,18.17,1.19,366.16,59.59
2015-10-26,0.51,17.08,1.09,448.11,60.55
2015-11-02,0.61,18.26,1.22,411.89,48.71
2015-11-09,0.59,16.36,1.18,414.88,53.21
2015-11-16,0.56,18.28,1.1,402.48,79.98
2015-11-23,0.54,17.42,1.14,365.06,65.76
2015-11-30,0.53,18.42,1.06,460.38,73.27
2015-12-07,0.62,17.7,1.09,412.14,77.65
2015-12-14,0.55,16.08,1.14,406.03,48.6
2015-12-21,0.52,16.78,1.1,450.4,71.42
2015-12-28,0.6,17.15,1.1,463.98,75.27
2016-01-04,0.59,16.8,1.05,388.72,68.0
2016-01-11,0.6,18.13,1.1,505.8,54.19
2016-01-18,0.62,17.35,1.08,476.22,64.92
2016-01-25,0.6,17.51,1.11,551.03,74.21
2016-02-01,0.61,17.55,1.16,479.13,60.31
2016-02-08,0.57,17.31,0.94,469.67,54.14
2016-02-15,0.65,17.44,1.05,461.97,47.45
2016-02-22,0.6,17.78,1.16,434.91,60.41
2016-02-29,0.52,18.31,1.14,488.79,60.02
2016-03-07,0.6,19.45,1.09,476.73,46.97
2016-03-14,0.54,17.55,1.17,462.95,57.17
2016-03-21,0.56,16.75,1.12,415.09,75.37
2016-03-28,0.55,18.35,1.04,503.27,68.06
2016-04-04,0.6,16.17,1.12,430.46,56.97
2016-04-11,0.62,18.45,1.11,439.78,67.75
2016-04-18,0.58,14.5,1.15,478.51,74.43
2016-04-25,0.54,13.41,1.12,491.55,39.71
2016-05-02,0.54,20.94,1.09,509.24,52.19
2016-05-09,0.49,17.23,1.1,463.81,58.62
2016-05-16,0.59,17.26,1.04,498.77,36.61
2016-05-23,0.5,18.39,1.14,476.24,43.25
2016-05-30,0.55,17.12,1.03,447.91,67.83
2016-06-06,0.64,16.93,1.15,399.57,67.91
2016-06-13,0.55,17.85,1.1,527.35,49.51
2016-06-20,0.61,17.11,1.1,465.33,49.85
2016-06-27,0.58,17.39,1.12,473.99,69.58
2016-07-04,0.62,16.14,1.16,420.88,67.05
2016-07-11,0.61,15.04,1.12,447.13,50.89
2016-07-18,0.64,16.64,1.07,466.28,68.23
2016-07-25,0.58,18.96,1.14,373.37,53.65
2016-08-01,0.56,18.09,0.97,559.6,66.37
2016-08-08,0.59,18.99,1.24,489.54,71.39
2016-08-15,0.59,17.31,1.09,418.68,51.76
2016-08-22,0.53,17.39,1.02,456.36,59.56
2016-08-29,0.59,16.83,1.28,500.14,45.07
2016-09-05,0.59,16.72,1.06,389.19,65.19
2016-09-12,0.55,18.73,1.17,494.88,49.77
2016-09-19,0.6,18.31,1.09,406.28,79.31
2016-09-26,0.59,18.31,1.07,385.74,53.17
2016-10-03,0.58,16.15,1.11,364.48,46.56
2016-10-10,0.61,18.28,1.09,389.01,47.67
2016-10-17,0.57,18.33,1.16,407.75,46.16
2016-10-24,0.6,16.47,1.09,478.74,69.93
2016-10-31,0.59,15.9,1.13,466.6,55.49
2016-11-07,0.64,19.17,1.2,434.92,67.05
2016-11-14,0.64,18.09,1.09,403.66,62.86
2016-11-21,0.53,17.34,1.17,333.13,78.41
2016-11-28,0.63,16.94,1.14,420.37,74.76
2016-12-05,0.63,15.75,1.15,411.79,60.99
2016-12-12,0.55,19.77,1.17,390.49,43.98
2016-12-19,0.57,18.09,1.13,470.57,69.48
2016-12-26,0.63,17.96,1.04,413.27,72.72
2017-01-02,0.58,18.19,1.1,380.86,58.52
2017-01-09,0.6,16.71,1.1,385.7,73.43
2017-01-16,0.57,19.4,1.2,421.53,47.9
2017-01-23,0.5,15.67,1.04,481.66,61.39
2017-01-30,0.6,14.72,1.05,463.98,63.44
2017-02-06,0.58,18.28,1.2,421.85,60.83
2017-02-13,0.59,20.62,1.01,460.41,58.62
2017-02-20,0.61,16.72,1.12,464.1,97.35
2017-02-27,0.62,16.48,1.1,420.21,38.45
2017-03-06,0.57,18.51,1.05,483.1,65.85
2017-03-13,0.55,17.39,1.2,473.41,60.11
2017-03-20,0.58,17.67,1.09,362.84,84.51
2017-03-27,0.59,18.09,1.12,420.62,57.77
2017-04-03,0.52,20.49,1.05,411.74,54.72
2017-04-10,0.64,17.6,1.05,506.16,68.77
2017-04-17,0.61,18.5,1.25,546.29,51.76
2017-04-24,0.66,18.08,1.15,394.02,57.96
2017-05-01,0.55,18.65,1.18,381.43,59.74
2017-05-08,0.63,17.36,1.16,481.01,64.1
2017-05-15,0.58,16.04,1.06,497.72,60.23
2017-05-22,0.58,17.06,1.1,513.42,55.98
2017-05-29,0.53,18.56,1.11,474.77,79.29
2017-06-05,0.59,17.98,1.06,466.47,67.31
2017-06-12,0.52,17.87,1.13,478.4,72.45
2017-06-19,0.6,19.51,1.07,483.41,61.01
2017-06-26,0.54,18.84,1.25,478.23,66.06
2017-07-03,0.59,16.7,1.02,451.34,43.3
2017-07-10,0.66,17.47,1.1,515.49,46.54
2017-07-17,0.55,17.71,1.18,500.05,62.98
2017-07-24,0.59,18.14,1.13,438.55,60.55
2017-07-31,0.54,17.73,1.1,580.78,59.52
2017-08-07,0.53,17.46,1.15,545.31,52.93
2017-08-14,0.52,18.68,1.05,459.82,56.91
2017-08-21,0.58,18.52,1.09,464.93,59.83
2017-08-28,0.59,17.77,1.15,507.99,64.71
2017-09-04,0.61,15.61,1.13,491.53,68.75
2017-09-11,0.56,16.8,1.09,491.7,72.41
2017-09-18,0.57,18.82,1.13,462.96,57.46
2017-09-25,0.62,18.07,1.25,431.35,66.22
2017-10-02,0.57,16.54,1.12,468.29,95.02
2017-10-09,0.58,16.21,1.14,377.04,58.9
2017-10-16,0.59,18.68,1.18,437.01,58.19
2017-10-23,0.56,16.22,1.14,403.26,55.02
2017-10-30,0.55,18.37,1.22,399.16,37.76
2017-11-06,0.58,17.69,1.14,430.37,57.59
2017-11-13,0.6,19.01,1.02,430.48,62.57
2017-11-20,0.55,19.9,1.09,440.66,66.67
2017-11-27,0.56,15.3,1.1,480.63,55.96
2017-12-04,0.55,18.87,1.11,416.29,61.79
2017-12-11,0.62,20.75,1.17,480.48,53.93
2017-12-18,0.55,17.77,1.13,388.48,57.9
2017-12-25,0.61,18.15,1.15,440.99,53.92
2018-01-01,0.57,16.15,1.22,427.82,57.3
2018-01-08,0.55,21.47,1.07,408.28,64.99
2018-01-15,0.62,18.93,1.22,444.09,47.33
2018-01-22,0.58,18.1,1.24,366.59,74.43
2018-01-29,0.6,18.78,1.12,387.75,69.01
2018-02-05,0.62,18.96,1.13,396.68,41.29
2018-02-12,0.63,18.26,1.08,398.64,54.4
2018-02-19,0.53,16.66,1.07,403.5,51.14
2018-02-26,0.52,20.32,1.19,388.96,63.27
2018-03-05,0.61,19.25,1.08,464.22,53.43
2018-03-12,0.53,18.66,1.2,524.76,45.6
2018-03-19,0.62,17.2,1.17,363.42,44.85
2018-03-26,0.56,17.83,1.09,449.87,72.32
2018-04-02,0.62,19.82,1.15,376.37,76.36
2018-04-09,0.57,18.91,1.21,445.1,42.05
2018-04-16,0.55,19.44,1.12,432.04,69.11
2018-04-23,0.62,18.1,1.12,418.58,70.29
2018-04-30,0.62,17.41,1.19,428.34,49.78
2018-05-07,0.56,16.48,1.11,485.43,50.34
2018-05-14,0.6,16.9,1.12,378.41,57.35
2018-05-21,0.58,18.45,1.14,393.71,73.01
2018-05-28,0.6,18.01,1.13,423.85,62.61
2018-06-04,0.61,15.5,1.1,437.34,63.07
2018-06-11,0.64,16.76,1.1,430.03,50.38
2018-06-18,0.58,18.76,1.07,470.64,39.58
2018-06-25,0.57,17.34,1.22,445.49,33.59
2018-07-02,0.51,17.81,1.16,474.39,62.01
2018-07-09,0.64,17.07,1.18,396.89,49.14
2018-07-16,0.51,17.42,1.13,469.41,60.74
2018-07-23,0.55,17.53,1.05,521.9,56.36
2018-07-30,0.57,19.83,1.06,424.71,46.85
2018-08-06,0.59,18.34,1.17,574.77,33.01
2018-08-13,0.62,17.06,1.1,449.04,49.09
2018-08-20,0.67,18.88,1.13,529.57,41.85
2018-08-27,0.54,14.97,1.09,483.44,61.23
2018-09-03,0.6,15.97,1.18,487.73,68.8
2018-09-10,0.51,18.2,1.07,463.15,66.41
2018-09-17,0.6,16.7,1.13,418.39,73.8
2018-09-24,0.58,19.25,1.1,459.01,50.83
2018-10-01,0.63,16.89,1.17,464.67,36.29
2018-10-08,0.57,16.28,1.14,432.06,71.11
2018-10-15,0.59,17.58,1.17,517.65,59.76
2018-10-22,0.56,15.52,1.1,453.52,61.28
2018-10-29,0.58,18.71,1.1,474.77,74.21
2018-11-05,0.61,17.74,1.1,450.29,49.79
2018-11-12,0.57,18.8,1.12,419.95,81.22
2018-11-19,0.61,16.0,1.11,476.45,80.46
2018-11-26,0.55,19.09,1.21,444.72,56.67
2018-12-03,0.55,17.57,1.13,493.91,73.08
2018-12-10,0.56,15.28,1.13,476.75,62.99
2018-12-17,0.58,18.0,1.22,477.61,55.52
2018-12-24,0.57,17.62,1.22,452.22,59.76
2018-12-31,0.57,19.27,1.24,474.69,60.99
2019-01-07,0.6,14.75,1.18,459.07,65.14
2019-01-14,0.56,17.35,1.11,491.58,55.45
2019-01-21,0.69,18.41,1.07,442.58,52.18
2019-01-28,0.5,19.93,1.17,466.07,61.98
2019-02-04,0.54,17.23,1.18,399.77,29.62
2019-02-11,0.59,17.67,1.14,468.12,67.65
2019-02-18,0.61,19.42,1.05,456.43,67.52
2019-02-25,0.54,15.91,1.1,407.2,69.04
2019-03-04,0.57,16.75,1.1,475.97,60.16
2019-03-11,0.59,17.73,1.21,399.02,75.79
2019-03-18,0.6,17.66,1.27,384.73,55.76
2019-03-25,0.54,19.11,1.23,491.95,74.69
2019-04-01,0.59,17.4,1.05,505.03,65.63
2019-04-08,0.57,19.61,1.09,438.57,57.93
2019-04-15,0.62,17.8,1.06,424.32,72.59
2019-04-22,0.59,18.9,1.08,419.52,52.51
2019-04-29,0.63,17.93,1.18,463.64,68.3
2019-05-06,0.61,16.59,1.14,398.68,55.87
2019-05-13,0.58,16.62,1.03,393.44,62.32
2019-05-20,0.54,17.92,1.24,461.55,79.72
2019-05-27,0.61,19.42,1.1,395.61,27.13
2019-06-03,0.65,19.91,1.11,412.27,50.95
2019-06-10,0.61,19.37,1.05,440.13,56.68
2019-06-17,0.6,18.51,1.13,421.19,57.43
2019-06-24,0.64,18.46,1.15,376.32,55.46
2019-07-01,0.64,17.97,1.18,499.87,72.46
2019-07-08,0.6,17.25,1.0,424.74,56.09
2019-07-15,0.61,17.72,1.12,362.75,48.72
2019-07-22,0.62,20.16,1.14,449.65,71.43
2019-07-29,0.56,18.41,1.1,473.87,61.82
2019-08-05,0.61,16.91,1.18,525.52,47.91
2019-08-12,0.58,18.24,1.18,422.68,26.0
2019-08-19,0.66,18.93,1.05,423.73,78.82
2019-08-26,0.66,19.16,1.13,454.35,58.43
2019-09-02,0.65,16.8,1.1,494.43,59.47
2019-09-09,0.66,17.07,1.14,420.07,60.09
2019-09-16,0.53,17.31,1.06,487.61,68.6
2019-09-23,0.52,19.69,1.28,464.47,52.31
2019-09-30,0.72,16.23,1.14,472.47,76.14
2019-10-07,0.61,17.31,1.09,454.11,47.92
2019-10-14,0.6,17.22,1.06,520.31,54.03
2019-10-21,0.54,17.74,1.15,402.37,63.98
2019-10-28,0.55,20.2,1.17,458.13,51.06
