fecha,mes,anio,lluvia_semanal_mm,temperatura_media_c,riesgo_helada
2011-03-07,3,2011,14.4,28.6,0
2011-03-14,3,2011,57.8,21.9,0
2011-03-21,3,2011,16.9,26.9,0
2011-03-28,3,2011,37.3,27.5,0
2011-04-04,4,2011,26.2,23.0,0
2011-04-11,4,2011,6.9,22.3,0
2011-04-18,4,2011,10.8,17.4,0
2011-04-25,4,2011,47.0,14.4,0
2011-05-02,5,2011,6.2,20.2,0
2011-05-09,5,2011,5.8,23.3,0
2011-05-16,5,2011,30.4,20.4,0
2011-05-23,5,2011,4.3,20.6,0
2011-05-30,5,2011,48.9,25.5,0
2011-06-06,6,2011,2.6,5.9,0
2011-06-13,6,2011,3.6,14.7,0
2011-06-20,6,2011,0.0,16.0,0
2011-06-27,6,2011,0.7,17.5,0
2011-07-04,7,2011,0.1,21.1,0
2011-07-11,7,2011,1.9,15.6,0
2011-07-18,7,2011,11.6,22.5,0
2011-07-25,7,2011,0.7,18.1,0
2011-08-01,8,2011,0.5,15.8,0
2011-08-08,8,2011,1.0,17.1,0
2011-08-15,8,2011,0.1,20.5,0
2011-08-22,8,2011,0.6,8.3,0
2011-08-29,8,2011,1.0,10.1,0
2011-09-05,9,2011,13.9,19.4,0
2011-09-12,9,2011,9.9,20.3,0
2011-09-19,9,2011,16.3,18.2,0
2011-09-26,9,2011,42.0,19.5,0
2011-10-03,10,2011,15.4,18.5,0
2011-10-10,10,2011,11.2,18.2,0
2011-10-17,10,2011,18.8,22.9,0
2011-10-24,10,2011,28.4,22.4,0
2011-10-31,10,2011,15.9,21.7,0
2011-11-07,11,2011,20.0,25.9,0
2011-11-14,11,2011,34.4,24.0,0
2011-11-21,11,2011,60.6,25.3,0
2011-11-28,11,2011,58.7,24.8,0
2011-12-05,12,2011,37.4,29.9,0
2011-12-12,12,2011,32.4,25.3,0
2011-12-19,12,2011,51.8,27.0,0
2011-12-26,12,2011,29.5,31.7,0
2012-01-02,1,2012,57.7,23.0,0
2012-01-09,1,2012,13.6,28.3,0
2012-01-16,1,2012,46.9,26.0,0
2012-01-23,1,2012,17.4,19.7,0
2012-01-30,1,2012,80.7,23.5,0
2012-02-06,2,2012,26.1,27.8,0
2012-02-13,2,2012,66.7,26.7,0
2012-02-20,2,2012,23.1,27.7,0
2012-02-27,2,2012,52.3,21.7,0
2012-03-05,3,2012,11.6,24.0,0
2012-03-12,3,2012,66.7,26.9,0
2012-03-19,3,2012,70.5,25.1,0
2012-03-26,3,2012,31.9,27.0,0
2012-04-02,4,2012,3.9,21.5,0
2012-04-09,4,2012,10.1,22.1,0
2012-04-16,4,2012,6.3,20.2,0
2012-04-23,4,2012,20.7,20.3,0
2012-04-30,4,2012,4.1,26.8,0
2012-05-07,5,2012,13.3,26.5,0
2012-05-14,5,2012,4.1,19.7,0
2012-05-21,5,2012,20.6,17.5,0
2012-05-28,5,2012,5.1,23.1,0
2012-06-04,6,2012,0.0,6.8,0
2012-06-11,6,2012,1.2,16.3,0
2012-06-18,6,2012,0.1,17.9,0
2012-06-25,6,2012,4.1,17.0,0
2012-07-02,7,2012,0.7,19.9,0
2012-07-09,7,2012,5.4,13.7,0
2012-07-16,7,2012,3.9,12.9,0
2012-07-23,7,2012,0.1,15.4,0
2012-07-30,7,2012,4.6,13.7,0
2012-08-06,8,2012,0.9,13.6,0
2012-08-13,8,2012,5.3,13.8,0
2012-08-20,8,2012,1.2,12.7,0
2012-08-27,8,2012,0.1,7.6,0
2012-09-03,9,2012,1.8,21.6,0
2012-09-10,9,2012,1.4,23.8,0
2012-09-17,9,2012,11.6,26.1,0
2012-09-24,9,2012,23.7,20.2,0
2012-10-01,10,2012,21.3,20.5,0
2012-10-08,10,2012,16.1,24.1,0
2012-10-15,10,2012,6.1,19.0,0
2012-10-22,10,2012,21.8,14.7,0
2012-10-29,10,2012,19.3,19.6,0
2012-11-05,11,2012,71.4,26.2,0
2012-11-12,11,2012,55.3,27.0,0
2012-11-19,11,2012,8.9,25.8,0
2012-11-26,11,2012,31.9,27.2,0
2012-12-03,12,2012,12.6,28.0,0
2012-12-10,12,2012,14.9,27.5,0
2012-12-17,12,2012,30.8,28.9,0
2012-12-24,12,2012,24.0,24.6,0
2012-12-31,12,2012,22.7,23.6,0
2013-01-07,1,2013,11.3,25.4,0
2013-01-14,1,2013,88.0,26.1,0
2013-01-21,1,2013,43.2,29.6,0
2013-01-28,1,2013,29.8,25.3,0
2013-02-04,2,2013,19.6,27.7,0
2013-02-11,2,2013,26.9,19.1,0
2013-02-18,2,2013,21.2,19.4,0
2013-02-25,2,2013,44.7,26.9,0
2013-03-04,3,2013,16.5,26.2,0
2013-03-11,3,2013,9.7,26.6,0
2013-03-18,3,2013,28.5,25.9,0
2013-03-25,3,2013,20.9,22.8,0
2013-04-01,4,2013,11.3,22.7,0
2013-04-08,4,2013,9.3,24.4,0
2013-04-15,4,2013,48.6,23.0,0
2013-04-22,4,2013,2.9,19.4,0
2013-04-29,4,2013,27.3,16.1,0
2013-05-06,5,2013,1.7,21.7,0
2013-05-13,5,2013,5.9,18.1,0
2013-05-20,5,2013,5.1,17.4,0
2013-05-27,5,2013,16.6,21.2,0
2013-06-03,6,2013,5.4,13.7,0
2013-06-10,6,2013,0.3,16.1,0
2013-06-17,6,2013,1.3,14.8,0
2013-06-24,6,2013,0.3,11.7,0
2013-07-01,7,2013,0.7,10.0,0
2013-07-08,7,2013,0.2,7.9,0
2013-07-15,7,2013,0.9,17.2,0
2013-07-22,7,2013,0.0,11.6,0
2013-07-29,7,2013,2.1,17.0,0
2013-08-05,8,2013,1.5,6.9,0
2013-08-12,8,2013,8.8,9.9,0
2013-08-19,8,2013,2.6,16.0,0
2013-08-26,8,2013,4.6,20.3,0
2013-09-02,9,2013,5.1,21.8,0
2013-09-09,9,2013,13.2,18.7,0
2013-09-16,9,2013,12.8,19.2,0
2013-09-23,9,2013,25.7,14.4,0
2013-09-30,9,2013,6.6,15.3,0
2013-10-07,10,2013,9.5,22.5,0
2013-10-14,10,2013,3.6,20.9,0
2013-10-21,10,2013,1.5,23.4,0
2013-10-28,10,2013,14.5,23.7,0
2013-11-04,11,2013,35.7,26.7,0
2013-11-11,11,2013,15.0,23.5,0
2013-11-18,11,2013,33.4,24.6,0
2013-11-25,11,2013,25.7,28.5,0
2013-12-02,12,2013,27.0,23.1,0
2013-12-09,12,2013,24.3,24.3,0
2013-12-16,12,2013,52.2,30.1,0
2013-12-23,12,2013,9.5,26.8,0
2013-12-30,12,2013,8.3,30.5,0
2014-01-06,1,2014,35.7,33.9,0
2014-01-13,1,2014,34.2,28.2,0
2014-01-20,1,2014,36.4,27.3,0
2014-01-27,1,2014,84.9,30.0,0
2014-02-03,2,2014,35.7,26.3,0
2014-02-10,2,2014,16.3,25.6,0
2014-02-17,2,2014,112.0,27.6,0
2014-02-24,2,2014,29.0,24.7,0
2014-03-03,3,2014,51.8,19.0,0
2014-03-10,3,2014,12.8,22.1,0
2014-03-17,3,2014,10.7,25.2,0
2014-03-24,3,2014,27.4,25.2,0
2014-03-31,3,2014,50.5,25.5,0
2014-04-07,4,2014,36.2,23.4,0
2014-04-14,4,2014,3.0,21.6,0
2014-04-21,4,2014,7.2,16.7,0
2014-04-28,4,2014,9.3,20.5,0
2014-05-05,5,2014,9.5,19.9,0
2014-05-12,5,2014,8.4,20.5,0
2014-05-19,5,2014,9.1,18.4,0
2014-05-26,5,2014,27.2,12.0,0
2014-06-02,6,2014,0.6,12.6,0
2014-06-09,6,2014,5.2,12.5,0
2014-06-16,6,2014,0.6,9.6,0
2014-06-23,6,2014,0.0,21.0,0
2014-06-30,6,2014,2.5,16.9,0
2014-07-07,7,2014,0.0,9.5,0
2014-07-14,7,2014,3.7,9.1,0
2014-07-21,7,2014,0.0,16.9,0
2014-07-28,7,2014,2.5,12.6,0
2014-08-04,8,2014,2.0,18.6,0
2014-08-11,8,2014,0.3,15.3,0
2014-08-18,8,2014,0.7,9.0,0
2014-08-25,8,2014,4.0,11.2,0
2014-09-01,9,2014,1.7,22.3,0
2014-09-08,9,2014,1.7,13.8,0
2014-09-15,9,2014,33.0,22.9,0
2014-09-22,9,2014,9.1,18.9,0
2014-09-29,9,2014,8.8,26.5,0
2014-10-06,10,2014,16.4,20.5,0
2014-10-13,10,2014,7.8,16.1,0
2014-10-20,10,2014,10.2,20.6,0
2014-10-27,10,2014,3.2,26.0,0
2014-11-03,11,2014,48.2,26.8,0
2014-11-10,11,2014,55.4,23.0,0
2014-11-17,11,2014,43.1,20.5,0
2014-11-24,11,2014,12.9,25.0,0
2014-12-01,12,2014,36.1,24.2,0
2014-12-08,12,2014,11.6,30.0,0
2014-12-15,12,2014,17.6,23.2,0
2014-12-22,12,2014,116.3,26.3,0
2014-12-29,12,2014,35.6,24.3,0
2015-01-05,1,2015,34.5,20.9,0
2015-01-12,1,2015,55.5,25.9,0
2015-01-19,1,2015,80.8,21.3,0
2015-01-26,1,2015,24.8,27.9,0
2015-02-02,2,2015,55.1,20.7,0
2015-02-09,2,2015,60.1,25.8,0
2015-02-16,2,2015,45.8,29.2,0
2015-02-23,2,2015,34.4,27.7,0
2015-03-02,3,2015,58.2,24.6,0
2015-03-09,3,2015,46.1,27.3,0
2015-03-16,3,2015,36.2,28.5,0
2015-03-23,3,2015,34.7,22.8,0
2015-03-30,3,2015,57.4,29.4,0
2015-04-06,4,2015,8.7,22.8,0
2015-04-13,4,2015,5.5,15.8,0
2015-04-20,4,2015,14.4,20.7,0
2015-04-27,4,2015,5.8,19.2,0
2015-05-04,5,2015,10.5,24.3,0
2015-05-11,5,2015,11.1,22.6,0
2015-05-18,5,2015,12.0,20.2,0
2015-05-25,5,2015,21.9,23.7,0
2015-06-01,6,2015,0.6,11.3,0
2015-06-08,6,2015,1.7,7.3,0
2015-06-15,6,2015,2.7,7.0,0
2015-06-22,6,2015,0.0,10.0,0
2015-06-29,6,2015,0.0,9.8,0
2015-07-06,7,2015,0.7,9.7,0
2015-07-13,7,2015,10.9,16.7,0
2015-07-20,7,2015,0.0,23.2,0
2015-07-27,7,2015,0.1,11.3,0
2015-08-03,8,2015,0.2,18.7,0
2015-08-10,8,2015,1.1,20.5,0
2015-08-17,8,2015,0.1,16.2,0
2015-08-24,8,2015,14.3,11.5,0
2015-08-31,8,2015,8.6,12.5,0
2015-09-07,9,2015,2.4,17.5,0
2015-09-14,9,2015,14.0,17.9,0
2015-09-21,9,2015,4.5,24.6,0
2015-09-28,9,2015,35.0,18.9,0
2015-10-05,10,2015,15.3,20.9,0
2015-10-12,10,2015,12.5,17.4,0
2015-10-19,10,2015,10.3,15.9,0
2015-10-26,10,2015,4.3,17.5,0
2015-11-02,11,2015,31.8,24.4,0
2015-11-09,11,2015,36.6,15.6,0
2015-11-16,11,2015,17.8,24.5,0
2015-11-23,11,2015,57.1,21.1,0
2015-11-30,11,2015,41.9,27.8,0
2015-12-07,12,2015,59.0,27.2,0
2015-12-14,12,2015,48.2,29.2,0
2015-12-21,12,2015,60.8,24.1,0
2015-12-28,12,2015,42.4,25.5,0
2016-01-04,1,2016,35.0,23.9,0
2016-01-11,1,2016,42.7,26.1,0
2016-01-18,1,2016,64.2,28.5,0
2016-01-25,1,2016,12.1,28.2,0
2016-02-01,2,2016,71.1,26.6,0
2016-02-08,2,2016,37.1,30.7,0
2016-02-15,2,2016,62.0,21.7,0
2016-02-22,2,2016,24.0,26.6,0
2016-02-29,2,2016,25.4,26.5,0
2016-03-07,3,2016,61.6,21.4,0
2016-03-14,3,2016,39.7,24.4,0
2016-03-21,3,2016,73.5,25.8,0
2016-03-28,3,2016,24.7,22.3,0
2016-04-04,4,2016,7.9,16.9,0
2016-04-11,4,2016,16.9,23.4,0
2016-04-18,4,2016,25.9,22.0,0
2016-04-25,4,2016,8.5,16.3,0
2016-05-02,5,2016,32.3,19.9,0
2016-05-09,5,2016,11.6,17.9,0
2016-05-16,5,2016,4.7,16.2,0
2016-05-23,5,2016,28.2,21.5,0
2016-05-30,5,2016,9.1,21.0,0
2016-06-06,6,2016,3.2,15.8,0
2016-06-13,6,2016,3.0,14.8,0
2016-06-20,6,2016,3.6,16.8,0
2016-06-27,6,2016,0.1,11.3,0
2016-07-04,7,2016,0.2,21.2,0
2016-07-11,7,2016,0.0,17.4,0
2016-07-18,7,2016,0.4,11.4,0
2016-07-25,7,2016,0.0,12.2,0
2016-08-01,8,2016,1.5,4.3,0
2016-08-08,8,2016,2.2,10.1,0
2016-08-15,8,2016,0.2,13.8,0
2016-08-22,8,2016,0.1,20.0,0
2016-08-29,8,2016,0.4,17.5,0
2016-09-05,9,2016,7.4,18.0,0
2016-09-12,9,2016,7.9,17.8,0
2016-09-19,9,2016,35.1,21.9,0
2016-09-26,9,2016,5.7,18.7,0
2016-10-03,10,2016,27.4,22.8,0
2016-10-10,10,2016,35.4,21.1,0
2016-10-17,10,2016,19.4,21.9,0
2016-10-24,10,2016,10.4,22.9,0
2016-10-31,10,2016,41.2,17.9,0
2016-11-07,11,2016,25.3,26.6,0
2016-11-14,11,2016,20.9,24.5,0
2016-11-21,11,2016,15.7,24.4,0
2016-11-28,11,2016,31.5,32.4,0
2016-12-05,12,2016,17.0,28.3,0
2016-12-12,12,2016,32.8,26.4,0
2016-12-19,12,2016,23.1,26.6,0
2016-12-26,12,2016,27.2,21.0,0
2017-01-02,1,2017,54.0,28.6,0
2017-01-09,1,2017,13.5,21.6,0
2017-01-16,1,2017,10.1,32.0,0
2017-01-23,1,2017,58.1,25.9,0
2017-01-30,1,2017,9.5,24.3,0
2017-02-06,2,2017,70.5,30.1,0
2017-02-13,2,2017,40.5,23.9,0
2017-02-20,2,2017,22.4,24.0,0
2017-02-27,2,2017,38.8,25.1,0
2017-03-06,3,2017,43.9,24.9,0
2017-03-13,3,2017,5.1,26.7,0
2017-03-20,3,2017,25.4,22.6,0
2017-03-27,3,2017,50.6,22.3,0
2017-04-03,4,2017,5.8,21.0,0
2017-04-10,4,2017,1.3,19.2,0
2017-04-17,4,2017,10.0,16.2,0
2017-04-24,4,2017,7.3,23.7,0
2017-05-01,5,2017,29.2,22.6,0
2017-05-08,5,2017,18.7,23.7,0
2017-05-15,5,2017,13.0,21.3,0
2017-05-22,5,2017,7.0,21.1,0
2017-05-29,5,2017,8.7,19.9,0
2017-06-05,6,2017,0.1,13.2,0
2017-06-12,6,2017,0.1,15.8,0
2017-06-19,6,2017,11.2,13.5,0
2017-06-26,6,2017,1.1,18.3,0
2017-07-03,7,2017,2.0,10.2,0
2017-07-10,7,2017,2.0,16.6,0
2017-07-17,7,2017,0.0,18.3,0
2017-07-24,7,2017,0.1,13.3,0
2017-07-31,7,2017,4.5,13.9,0
2017-08-07,8,2017,1.6,22.0,0
2017-08-14,8,2017,8.9,9.7,0
2017-08-21,8,2017,1.9,16.7,0
2017-08-28,8,2017,1.9,18.0,0
2017-09-04,9,2017,7.3,24.8,0
2017-09-11,9,2017,13.8,14.9,0
2017-09-18,9,2017,3.4,21.8,0
2017-09-25,9,2017,16.8,23.9,0
2017-10-02,10,2017,7.3,19.5,0
2017-10-09,10,2017,9.5,16.2,0
2017-10-16,10,2017,1.1,17.0,0
2017-10-23,10,2017,0.4,16.1,0
2017-10-30,10,2017,5.0,24.9,0
2017-11-06,11,2017,56.1,19.3,0
2017-11-13,11,2017,20.4,18.5,0
2017-11-20,11,2017,101.2,22.5,0
2017-11-27,11,2017,10.4,29.1,0
2017-12-04,12,2017,107.6,28.0,0
2017-12-11,12,2017,44.7,28.3,0
2017-12-18,12,2017,37.8,25.4,0
2017-12-25,12,2017,44.1,20.9,0
2018-01-01,1,2018,30.1,28.9,0
2018-01-08,1,2018,21.4,28.8,0
2018-01-15,1,2018,10.0,24.2,0
2018-01-22,1,2018,9.9,27.7,0
2018-01-29,1,2018,16.5,31.5,0
2018-02-05,2,2018,36.6,21.2,0
2018-02-12,2,2018,41.4,30.2,0
2018-02-19,2,2018,30.5,26.4,0
2018-02-26,2,2018,24.3,29.6,0
2018-03-05,3,2018,40.1,23.9,0
2018-03-12,3,2018,20.7,29.4,0
2018-03-19,3,2018,26.5,22.3,0
2018-03-26,3,2018,20.3,28.4,0
2018-04-02,4,2018,5.3,18.0,0
2018-04-09,4,2018,12.0,26.7,0
2018-04-16,4,2018,2.2,21.9,0
2018-04-23,4,2018,13.4,23.7,0
2018-04-30,4,2018,31.6,18.3,0
2018-05-07,5,2018,1.8,20.9,0
2018-05-14,5,2018,9.3,17.6,0
2018-05-21,5,2018,31.9,22.9,0
2018-05-28,5,2018,15.2,24.9,0
2018-06-04,6,2018,0.0,9.6,0
2018-06-11,6,2018,3.7,11.2,0
2018-06-18,6,2018,1.2,15.9,0
2018-06-25,6,2018,0.4,22.5,0
2018-07-02,7,2018,2.0,16.8,0
2018-07-09,7,2018,2.6,21.8,0
2018-07-16,7,2018,0.0,10.0,0
2018-07-23,7,2018,0.8,16.5,0
2018-07-30,7,2018,0.5,11.9,0
2018-08-06,8,2018,0.1,8.4,0
2018-08-13,8,2018,8.6,14.3,0
2018-08-20,8,2018,2.9,18.9,0
2018-08-27,8,2018,4.2,9.7,0
2018-09-03,9,2018,3.6,14.5,0
2018-09-10,9,2018,14.4,26.5,0
2018-09-17,9,2018,2.6,20.0,0
2018-09-24,9,2018,18.6,18.8,0
2018-10-01,10,2018,13.9,20.2,0
2018-10-08,10,2018,8.5,21.7,0
2018-10-15,10,2018,15.5,19.5,0
2018-10-22,10,2018,4.2,16.9,0
2018-10-29,10,2018,25.9,23.3,0
2018-11-05,11,2018,42.2,33.4,0
2018-11-12,11,2018,26.5,26.0,0
2018-11-19,11,2018,12.6,24.9,0
2018-11-26,11,2018,16.2,26.2,0
2018-12-03,12,2018,43.5,20.6,0
2018-12-10,12,2018,20.9,23.2,0
2018-12-17,12,2018,29.3,27.6,0
2018-12-24,12,2018,12.9,25.4,0
2018-12-31,12,2018,71.0,24.3,0
2019-01-07,1,2019,24.6,24.2,0
2019-01-14,1,2019,26.4,26.0,0
2019-01-21,1,2019,19.7,27.3,0
2019-01-28,1,2019,61.5,27.5,0
2019-02-04,2,2019,101.1,21.9,0
2019-02-11,2,2019,27.8,29.6,0
2019-02-18,2,2019,26.2,24.3,0
2019-02-25,2,2019,3.3,28.6,0
2019-03-04,3,2019,18.8,21.6,0
2019-03-11,3,2019,35.7,23.0,0
2019-03-18,3,2019,31.4,29.6,0
2019-03-25,3,2019,29.0,22.4,0
2019-04-01,4,2019,9.0,19.5,0
2019-04-08,4,2019,33.3,17.4,0
2019-04-15,4,2019,4.7,23.1,0
2019-04-22,4,2019,1.2,18.8,0
2019-04-29,4,2019,43.1,18.2,0
2019-05-06,5,2019,11.9,22.4,0
2019-05-13,5,2019,9.6,17.7,0
2019-05-20,5,2019,10.1,25.2,0
2019-05-27,5,2019,6.5,20.6,0
2019-06-03,6,2019,0.0,10.8,0
2019-06-10,6,2019,0.4,19.2,0
2019-06-17,6,2019,3.2,12.2,0
2019-06-24,6,2019,0.0,12.3,0
2019-07-01,7,2019,3.1,16.4,0
2019-07-08,7,2019,0.6,19.2,0
2019-07-15,7,2019,0.1,16.6,0
2019-07-22,7,2019,14.2,18.9,0
2019-07-29,7,2019,0.3,19.8,0
2019-08-05,8,2019,2.8,21.2,0
2019-08-12,8,2019,1.9,16.2,0
2019-08-19,8,2019,0.2,13.2,0
2019-08-26,8,2019,0.7,16.3,0
2019-09-02,9,2019,10.7,19.3,0
2019-09-09,9,2019,7.1,16.0,0
2019-09-16,9,2019,19.7,19.5,0
2019-09-23,9,2019,12.0,23.6,0
2019-09-30,9,2019,8.2,22.0,0
2019-10-07,10,2019,23.6,21.0,0
2019-10-14,10,2019,9.6,21.2,0
2019-10-21,10,2019,4.8,20.1,0
2019-10-28,10,2019,1.5,20.9,0
2019-11-04,11,2019,78.3,20.3,0
2019-11-11,11,2019,33.6,28.3,0
2019-11-18,11,2019,40.1,24.1,0
2019-11-25,11,2019,42.3,25.4,0
2019-12-02,12,2019,18.1,26.8,0
2019-12-09,12,2019,11.7,22.4,0
2019-12-16,12,2019,41.5,26.8,0
2019-12-23,12,2019,69.8,23.6,0
2019-12-30,12,2019,46.5,21.7,0
2020-01-06,1,2020,14.8,28.2,0
2020-01-13,1,2020,25.2,23.5,0
2020-01-20,1,2020,6.0,26.7,0
2020-01-27,1,2020,54.0,31.0,0
2020-02-03,2,2020,19.4,21.4,0
2020-02-10,2,2020,63.7,26.5,0
2020-02-17,2,2020,18.3,24.3,0
2020-02-24,2,2020,35.8,31.6,0
2020-03-02,3,2020,85.0,29.1,0
2020-03-09,3,2020,45.1,26.0,0
2020-03-16,3,2020,65.2,25.5,0
2020-03-23,3,2020,23.9,28.8,0
2020-03-30,3,2020,47.3,22.6,0
2020-04-06,4,2020,7.8,17.5,0
2020-04-13,4,2020,8.2,24.5,0
2020-04-20,4,2020,15.9,20.6,0
2020-04-27,4,2020,15.3,23.7,0
2020-05-04,5,2020,15.3,23.4,0
2020-05-11,5,2020,6.9,25.7,0
2020-05-18,5,2020,30.0,15.8,0
2020-05-25,5,2020,2.4,20.4,0
2020-06-01,6,2020,0.4,6.9,0
2020-06-08,6,2020,0.3,16.1,0
2020-06-15,6,2020,0.8,11.9,0
2020-06-22,6,2020,0.1,13.9,0
2020-06-29,6,2020,0.8,21.1,0
2020-07-06,7,2020,3.1,10.0,0
2020-07-13,7,2020,2.9,15.2,0
2020-07-20,7,2020,0.0,10.5,0
2020-07-27,7,2020,7.2,10.7,0
2020-08-03,8,2020,0.3,20.0,0
2020-08-10,8,2020,0.0,12.9,0
2020-08-17,8,2020,0.0,4.3,0
2020-08-24,8,2020,0.5,17.5,0
2020-08-31,8,2020,0.0,14.3,0
2020-09-07,9,2020,14.5,19.7,0
2020-09-14,9,2020,5.0,22.4,0
2020-09-21,9,2020,2.1,16.0,0
2020-09-28,9,2020,1.2,23.5,0
2020-10-05,10,2020,6.1,18.4,0
2020-10-12,10,2020,11.2,23.4,0
2020-10-19,10,2020,7.0,20.5,0
2020-10-26,10,2020,3.9,20.3,0
2020-11-02,11,2020,13.0,25.8,0
2020-11-09,11,2020,41.3,28.7,0
2020-11-16,11,2020,80.7,22.9,0
2020-11-23,11,2020,32.4,23.8,0
2020-11-30,11,2020,20.9,25.8,0
2020-12-07,12,2020,20.9,23.6,0
2020-12-14,12,2020,60.6,23.7,0
2020-12-21,12,2020,38.8,25.2,0
2020-12-28,12,2020,25.4,27.5,0
2021-01-04,1,2021,52.6,25.8,0
2021-01-11,1,2021,16.5,26.0,0
2021-01-18,1,2021,24.4,29.4,0
2021-01-25,1,2021,7.9,26.6,0
2021-02-01,2,2021,84.5,29.2,0
2021-02-08,2,2021,49.5,25.4,0
2021-02-15,2,2021,42.5,23.5,0
2021-02-22,2,2021,51.3,24.7,0
2021-03-01,3,2021,25.9,24.8,0
2021-03-08,3,2021,38.2,28.3,0
2021-03-15,3,2021,91.8,22.8,0
2021-03-22,3,2021,35.9,26.7,0
2021-03-29,3,2021,30.5,27.4,0
2021-04-05,4,2021,23.2,24.3,0
2021-04-12,4,2021,7.8,23.0,0
2021-04-19,4,2021,9.6,19.2,0
2021-04-26,4,2021,15.3,21.0,0
2021-05-03,5,2021,4.0,21.8,0
2021-05-10,5,2021,10.9,24.0,0
2021-05-17,5,2021,6.9,14.1,0
2021-05-24,5,2021,0.4,18.2,0
2021-05-31,5,2021,5.7,23.0,0
2021-06-07,6,2021,2.4,13.0,0
2021-06-14,6,2021,0.1,12.5,0
2021-06-21,6,2021,0.8,18.9,0
2021-06-28,6,2021,0.5,20.1,0
2021-07-05,7,2021,0.9,10.4,0
2021-07-12,7,2021,2.1,15.3,0
2021-07-19,7,2021,2.1,15.1,0
2021-07-26,7,2021,0.2,13.0,0
2021-08-02,8,2021,0.3,14.5,0
2021-08-09,8,2021,0.4,21.8,0
2021-08-16,8,2021,0.0,16.1,0
2021-08-23,8,2021,5.6,14.7,0
2021-08-30,8,2021,3.5,15.6,0
2021-09-06,9,2021,7.4,17.1,0
2021-09-13,9,2021,10.7,23.3,0
2021-09-20,9,2021,8.3,20.8,0
2021-09-27,9,2021,8.8,18.4,0
2021-10-04,10,2021,8.6,19.3,0
2021-10-11,10,2021,13.5,21.5,0
2021-10-18,10,2021,7.3,22.7,0
2021-10-25,10,2021,5.5,21.1,0
2021-11-01,11,2021,83.2,20.3,0
2021-11-08,11,2021,26.5,22.8,0
2021-11-15,11,2021,15.3,27.3,0
2021-11-22,11,2021,53.1,25.7,0
2021-11-29,11,2021,28.8,26.2,0
2021-12-06,12,2021,23.7,26.2,0
2021-12-13,12,2021,60.6,27.0,0
2021-12-20,12,2021,60.6,28.9,0
2021-12-27,12,2021,42.9,28.0,0
2022-01-03,1,2022,118.8,24.0,0
2022-01-10,1,2022,7.9,28.7,0
2022-01-17,1,2022,36.7,30.8,0
2022-01-24,1,2022,65.3,23.0,0
2022-01-31,1,2022,49.9,25.3,0
2022-02-07,2,2022,18.2,27.3,0
